Perusahaan,DAR,DER
ADHI19,0.813,4.343
ADHI20,0.854,5.833
ADHI21,0.858,6.052
DGIK19,0.498,0.991
DGIK20,0.416,0.713
DGIK21,0.356,0.553
NRCA19,0.504,1.017
NRCA20,0.481,0.926
NRCA21,0.455,0.836
PTPP19,0.707,2.415
PTPP20,0.738,2.818
PTPP21,0.742,2.878
TOTL19,0.637,1.751
TOTL20,0.606,1.536
TOTL21,0.548,1.214
WIKA19,0.691,2.232
WIKA20,0.755,3.089
WIKA21,0.749,2.980
WSKT19,0.762,3.210
WSKT20,0.843,5.369
WSKT21,0.851,5.701
JKON19,0.453,0.827
JKON20,0.412,0.702
JKON21,0.361,0.564
CSIS19,0.563,1.289
CSIS20,0.502,1.008
CSIS21,0.455,0.833
IDPR19,0.393,0.649
IDPR20,0.491,0.966
IDPR21,0.586,1.413
TOPS19,0.570,1.327
TOPS20,0.640,1.779
TOPS21,0.641,1.787
WEGE19,0.603,1.520
WEGE20,0.639,1.771
WEGE21,0.601,1.508
PBSA19,0.256,0.344
PBSA20,0.237,0.310
PBSA21,0.252,0.337
SRKN19,0.559,1.268
SRKN20,0.636,1.750
SRKN21,0.615,1.601
SSIA19,0.447,0.807
SSIA20,0.445,0.802
SSIA21,0.477,0.914
TAMA19,0.836,5.097
TAMA20,0.704,2.380
TAMA21,0.713,2.478
